;CreditSum;sex;age;EducationStatus;kolichestvo_rabotnikov_v_organizacii;Employment;OrgStanding_N;kolichestvo_detej_mladshe_18;Residence;ConfirmedMonthlyIncome (Target)
0;500000.0;0;49;4;3;1;1.25;0;1;30691.36
1;708000.0;0;44;2;0;3;20.0;0;0;25712.07
2;665000.0;1;29;4;2;1;2.0;1;1;31081.26
3;458000.0;0;59;5;1;1;23.0;0;0;17848.79
4;969000.0;1;51;4;3;1;9.25;2;1;115380.53
5;35000.0;1;35;4;3;1;5.5;0;1;39578.97
6;701000.0;1;54;4;2;3;1.5;0;1;50052.42
7;710000.0;1;34;4;0;4;9.25;2;1;100050.0
8;240000.0;1;26;2;3;1;3.916666;0;1;34000.58
9;120400.0;1;23;2;3;1;3.0;0;1;47266.04
10;700001.0;1;27;2;3;1;2.5;1;1;39166.1
11;710000.0;1;42;1;0;1;0.916666;3;1;69600.0
12;574940.19;0;33;4;3;1;1.75;1;0;57006.23
13;277991.38;0;38;4;3;1;8.166666000000001;2;1;41293.85
14;50000.0;1;28;2;1;1;2.833333;1;0;31417.0
15;481391.27;1;57;2;2;1;5.0;0;0;42661.73
16;500000.0;0;29;5;1;2;1.666666;0;0;23160.85
17;172125.0;0;46;1;3;1;26.083333;0;0;41897.84
18;103000.0;0;55;2;1;1;4.3333330000000005;0;0;9763.15
19;539618.12;1;28;2;2;1;2.166666;0;1;38253.44
20;300001.0;0;28;4;2;1;10.5;0;1;78040.85
21;444600.0;0;34;2;2;1;1.0;1;1;35976.05
22;646133.0;1;39;1;3;1;6.5;0;0;62559.67
23;31000.0;0;32;1;3;1;0.25;2;0;25000.0
24;1150000.0;0;45;4;0;4;13.0;0;0;40310.0
25;100000.0;0;47;4;3;4;20.0;0;1;41260.65
26;534607.38;0;51;4;1;3;17.833333;0;1;28521.32
27;50000.0;0;37;4;3;1;15.0;1;1;41422.26
28;200000.0;0;47;4;1;1;4.166666;0;1;25575.66
29;915990.0;1;37;4;3;3;4.0;3;1;43102.79
30;35000.0;0;25;4;3;1;0.416666;0;1;27135.04
31;523543.01;0;25;4;2;1;1.5;0;1;24663.3
32;469482.04;0;22;3;3;1;2.5;0;1;32294.24
33;400000.0;0;30;4;0;2;3.5;0;1;36540.0
34;427336.44;0;51;2;2;1;30.0;0;0;31432.73
35;50000.0;0;42;4;3;2;22.0;2;1;30662.3
36;320000.0;0;50;4;0;1;1.916666;0;1;30090.48
37;111458.0;1;24;2;3;1;3.0;0;0;24511.68
38;100000.0;1;36;4;1;1;4.0;2;0;38454.17
39;417515.12;1;23;2;3;1;3.916666;1;1;38172.5
40;784002.0;1;35;2;3;1;13.0;2;1;69061.22
41;235662.17;0;33;4;1;1;7.416666;0;0;12801.27
42;31000.0;0;33;4;3;1;11.0;0;1;28581.98
43;462000.0;1;36;4;1;1;6.0833330000000005;4;1;79758.0
44;813304.66;0;40;5;1;1;3.75;0;1;48951.0
45;1100000.0;1;56;4;1;1;12.833333;1;0;21646.09
46;35000.0;0;54;2;3;1;10.5;0;1;19375.0
47;155300.0;1;34;4;3;1;13.5;0;1;57189.99
48;750000.0;0;56;4;1;3;8.75;0;1;39150.0
49;102708.0;1;28;4;3;1;1.666666;0;1;59009.55
50;368100.0;1;49;2;0;1;6.416666;0;0;28305.0
51;800000.0;1;54;4;1;4;4.3333330000000005;0;0;44997.65
52;585937.0;0;48;4;3;1;23.0;0;1;63487.05
53;103000.0;0;22;2;2;1;2.416666;0;1;20976.13
54;162708.05;0;48;4;1;1;10.0;0;1;45513.93
55;161250.0;0;26;4;3;1;1.583333;0;0;18002.66
